                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0286,                 2.2335,                 1.3826,                0.52411,                0.32572,                0.37704,                0.21846,                 1.3068,                  2.224,                 1.7436,             0.00041523,             0.00041523,             0.00041523
                      2,                 1.0961,                 1.8283,                 1.4345,                0.33329,                0.34623,                0.27168,                0.15754,                 1.4655,                 2.2672,                  1.939,             0.00081543,             0.00081543,             0.00081543
                      3,                 1.1305,                 1.7303,                 1.4683,                0.50903,                0.39467,                0.41947,                0.25491,                 1.4622,                 2.1156,                 1.9468,              0.0011991,              0.0011991,              0.0011991
                      4,                 1.1275,                 1.6403,                 1.4635,                0.60659,                0.50394,                0.52599,                0.34724,                 1.3199,                 1.6119,                 1.6995,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.086,                 1.5716,                 1.4379,                 0.4791,                0.51729,                0.49744,                0.35395,                 1.2096,                 1.6853,                 1.6057,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.0657,                  1.489,                 1.4194,                0.53718,                0.54625,                0.54858,                0.36263,                 1.3617,                 1.7888,                 1.7951,               0.001151,               0.001151,               0.001151
                      7,                 1.0305,                 1.4391,                 1.4009,                0.52374,                0.57382,                0.57125,                0.40585,                 1.1881,                 1.5479,                  1.611,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.0215,                 1.3839,                 1.3907,                0.61244,                0.53604,                0.58282,                0.41389,                 1.1955,                 1.5515,                   1.66,              0.0011015,              0.0011015,              0.0011015
                      9,                0.98894,                 1.3452,                 1.3641,                0.63638,                0.58196,                0.64997,                0.47779,                 1.1897,                 1.4618,                 1.5872,              0.0010768,              0.0010768,              0.0010768
                     10,                0.99432,                 1.3064,                 1.3637,                 0.7204,                0.56969,                0.65957,                0.48178,                 1.1587,                 1.3783,                  1.554,               0.001052,               0.001052,               0.001052
                     11,                0.97053,                 1.2906,                 1.3517,                0.71586,                0.53729,                0.65561,                0.50274,                 1.0628,                 1.3263,                 1.5152,              0.0010273,              0.0010273,              0.0010273
                     12,                0.96025,                 1.2581,                 1.3414,                0.62886,                0.57747,                0.61999,                0.47494,                 1.0899,                 1.3771,                 1.4965,              0.0010025,              0.0010025,              0.0010025
                     13,                0.94697,                 1.2426,                 1.3362,                0.62174,                0.63742,                0.66331,                0.49996,                 1.0905,                 1.3213,                 1.5016,             0.00097775,             0.00097775,             0.00097775
                     14,                0.92896,                 1.1868,                  1.327,                0.65919,                0.57928,                0.66064,                0.50348,                 1.0953,                 1.3353,                 1.5076,               0.000953,               0.000953,               0.000953
                     15,                0.91633,                 1.1685,                 1.3161,                 0.7627,                0.56915,                0.68975,                0.52586,                 1.0728,                 1.2833,                 1.4916,             0.00092825,             0.00092825,             0.00092825
                     16,                0.90824,                 1.1462,                 1.3065,                0.68326,                0.64096,                0.68757,                0.51918,                 1.0731,                 1.2298,                 1.4998,              0.0009035,              0.0009035,              0.0009035
                     17,                0.89769,                 1.1297,                 1.2976,                 0.6724,                0.61802,                0.68629,                0.51777,                 1.0947,                 1.2648,                 1.4917,             0.00087875,             0.00087875,             0.00087875
                     18,                0.88844,                 1.1019,                 1.2895,                0.71202,                0.63349,                0.70036,                0.53504,                 1.0587,                 1.2194,                 1.4679,               0.000854,               0.000854,               0.000854
                     19,                0.88503,                 1.1039,                 1.2805,                0.70913,                0.65284,                0.71768,                0.54854,                 1.0448,                 1.2043,                 1.4693,             0.00082925,             0.00082925,             0.00082925
                     20,                0.89046,                 1.0806,                 1.2872,                0.68574,                0.67005,                0.72251,                0.55535,                 1.0528,                 1.1784,                 1.4747,              0.0008045,              0.0008045,              0.0008045
                     21,                0.86487,                 1.0498,                 1.2738,                0.70816,                0.62341,                0.67953,                0.51889,                 1.0873,                 1.2913,                 1.5171,             0.00077975,             0.00077975,             0.00077975
                     22,                0.85367,                 1.0259,                 1.2651,                0.71553,                0.64821,                0.70187,                0.54473,                 1.0367,                 1.1991,                 1.4335,               0.000755,               0.000755,               0.000755
                     23,                0.85216,                 1.0141,                 1.2618,                0.70814,                0.60484,                0.70943,                0.55184,                 1.0473,                 1.2736,                 1.4528,             0.00073025,             0.00073025,             0.00073025
                     24,                0.84883,                0.99989,                 1.2552,                0.71277,                0.61217,                0.69321,                0.54558,                 1.0584,                 1.3341,                 1.4907,              0.0007055,              0.0007055,              0.0007055
                     25,                0.82892,                0.96905,                 1.2449,                0.76577,                0.61651,                 0.7146,                 0.5526,                 1.0584,                 1.2437,                 1.4684,             0.00068075,             0.00068075,             0.00068075
                     26,                0.82011,                0.96929,                 1.2423,                 0.7653,                 0.6213,                0.72872,                0.56704,                 1.0349,                 1.2326,                 1.4867,               0.000656,               0.000656,               0.000656
                     27,                 0.8051,                 0.9462,                 1.2371,                0.75921,                0.64979,                0.72608,                0.56812,                 1.0133,                 1.1506,                 1.4178,             0.00063125,             0.00063125,             0.00063125
                     28,                0.80105,                 0.9398,                 1.2296,                0.82754,                 0.6138,                0.73997,                0.58543,                 1.0187,                 1.1589,                 1.4183,              0.0006065,              0.0006065,              0.0006065
